code,description_en,description_uk,parent_code
SCGP,Sports psychology,Спортивна психологія / психологія спорту,SCG
SCK,Drug abuse in sport,Зловживання наркотичними речовинами у спорті,SC
SCL,Parasport,Параспорт,SC
SCX,History of sport,Історія спорту,SC
SF,Ball sports / ball games,Ігрові види спорту з м’ячем,S
SFB,Football variants and related games,Різновиди футболу та подібні ігри,SF
SFBC,Association football (Soccer),"Футбол асоціації (футбол, сокер)",SFB
SFBD,American football,Американський футбол,SFB
SFBF,Australian Rules football,Австралійський футбол,SFB
SFBH,Canadian football,Канадський футбол,SFB
SFBK,Gaelic football,Гельський футбол,SFB
SFBT,Rugby Union,Регбі-юніон,SFB
SFBV,Rugby League,Регбіліг,SFB
SFC,Baseball,Бейсбол,SF
SFD,Cricket,Крикет,SF
SFG,Floorball and other hockey variants,Floorball and other hockey variants,SF
SFH,Golf,Гольф,SF
SFJ,Field hockey,Хокей на траві,SF
SFK,Lacrosse,Лакрос,SF
SFL,Hurling,Герлінг,SF
SFM,Basketball,Баскетбол,SF
SFN,Netball,Нетбол,SF
SFP,Volleyball,Волейбол,SF
SFQ,Handball and its variants,Гандбол,SF
SFT,Racket games,Ігрові види спорту з ракеткою,SF
SFTA,Tennis,Теніс,SFT
SFTB,Badminton,Бадмінтон,SFT
SFTC,Squash and rackets (racquets),Сквош і рекетс,SFT
SFTD,Table tennis,Настільний теніс,SFT
SFV,"Bowls, bowling, petanque",Боулз. Боулінг. Петанк,SF
SFX,"Snooker, billiards, pool",Снукер. Більярд. Пул,SF
SH,"Athletics, gymnastics and related sports","Атлетика, гімнастика та інші подібні види спорту",S
SHB,"Track and field sports, athletics",Легка атлетика,SH
SHBF,Marathon and cross-country running,Марафон. Крос. Біг пересіченою місцевістю,SHB
SHBM,Multidiscipline sports,Багатодисциплінарний спорт,SHB
SHG,Gymnastics,Гімнастика,SH
SHP,Weightlifting,Важка атлетика,SH
SK,Equestrian and animal sports,Кінний спорт. Верхова їзда. Види спорту із використанням тварин,S
SKG,Horse racing,Скачки,SK
SKL,"Riding, showjumping and horsemanship",Верхова їзда. Мистецтво верхової їзди. Конкур.,SK
SKR,Dog racing,Собачі перегони,SK
SM,Vehicle sports,Автомобільний спорт,S
SMC,Air sports and recreations,Повітряні види спорту і відпочинку. Авіаційний спорт,SM
SMF,Motor sports,Моторні види спорту (мотоспорт),SM
SMFA,Car racing,Автомобільні перегони (автоперегони),SMF
SMFC,Motor rallying / rally driving,Ралі,SMF
SMFF,Stock car and hot rod racing,Перегони на розбитих машинах. Перегони на хот-родах,SMF
SMFK,Motorcycle racing,Перегони на мотоциклах. Мотоперегони,SMF
SMQ,Cycle racing,Велоспорт. Велоперегони,SM
SMQB,BMX cycling,Велосипедний мотокрос (веломотокрос),SMQ
SMX,"Rollerblading, skateboarding, etc",Катання на роликах. Скейтбординг,SM
SP,Water sports and recreations,Водні види спорту і відпочинку,S
SPC,Swimming and diving,Плавання. Пірнання (дайвінг),SP
SPCA,Underwater (sub-aqua) swimming,Підводне плавання,SPC
SPCA1,Scuba diving,Скуба-дайвінг / рекреаційний дайвінг / любительський дайвінг,SPCA
SPCA2,Snorkelling,Підводне плавання з маскою та дихальною трубкою (сноркелінг / снорклінг),SPCA
SPCD,Diving,Занурення (пірнання / дайвінг),SPC
SPCS,Swimming,Плавання,SPC
SPG,"Surfing, windsurfing, water skiing",Серфінг. Віндсерфінг. Катання на водних лижах,SP
SPN,Boating: Sport and leisure,Веслування: спорт і дозвілля,SP
SPND,Motor / power boating and cruising,Водно-моторний спорт. Круїзи,SPN
SPNG,Sailing / yachting,Вітрильний спорт. Яхтинг,SPN
SPNK,"Canoeing, kayaking and other paddle sports",Веслування на каное. Каякінг,SPN
SPNL,Rowing and sculling,Академічне веслування. Парне веслування,SPN
SR,Combat sports and self-defence,Єдиноборства. Самозахист,S
SRB,Boxing,Бокс,SR
SRC,Wrestling,Боротьба. Реслінг,SR
SRF,Fencing,Фехтування,SR
SRM,Martial arts,Бойові мистецтва,SR
SRMA,Aikido,Айкідо,SRM
SRMC,Capoeira,Капоейра,SRM
SRMJ,Judo,Дзюдо,SRM
SRMK,Ju-jitsu,Джиу-джитсу,SRM
SRML,Karate,Карате,SRM
SRMM,Kendo,Кендо,SRM
SRMN,Chinese martial arts / Kung-Fu,Китайські бойові мистецтва. Кунг-фу / ґунфу,SRM
SRMN1,Tai Chi,Тайцзіцюань,SRMN
SRMN2,Qigong,Ціґун,SRMN
SRMS,Sumo,Сумо,SRM
SRMT,Taekwondo,Тхеквондо / таеквондо,SRM
SRMV,Mixed martial arts,Змішані бойові мистецтва,SRM
ST,Winter sports / activities,Зимові види спорту,S
STA,Skiing,Лижний спорт,ST
STAA,Alpine skiing,Гірськолижний спорт,STA
STAB,Biathlon,Біатлон,STA
STAN,Nordic skiing,Нордичне катання на лижах,STA
STAN1,Cross-country skiing,Лижні перегони / біг на лижах,STAN
STAN2,Ski jumping,Стрибки з трампліна,STAN
STAT,Freestyle skiing,Freestyle skiing,STA
STC,Snowboarding,Сноубординг,ST
STG,Ice-skating,Катання на ковзанах,ST
STH,Speed skating,Ковзанярський спорт,ST
STJ,Figure skating,Фігурне катання,ST
STK,Ice hockey,Хокей із шайбою,ST
STL,Sledding,Катання на санях,ST
STLN,Sled dog racing,Перегони на собачих упряжках,STL
STP,Curling,Керлінг,ST
STS,Snowshoeing,Snowshoeing,ST
SV,"Field sports: fishing, hunting, shooting",Рибальство. Полювання. Відстріл,S
SVB,Falconry and hawking,Соколине полювання. Полювання з яструбом,SV
SVF,"Fishing, angling",Рибальство. Спортивне рибальство,SV
SVFF,Fly fishing,Нахлист,SVF
SVFS,Sea fishing,Морське рибальство,SVF
SVH,Hunting or shooting animals and game,Полювання / відстріл тварин і дичини,SV
